Blood Status,Bravery,Intelligence,Loyalty,Ambition,Dark Arts Knowledge,Quidditch Skills,Dueling Skills,Creativity,House,id,name,surname,age
Half-blood,17.735993157942055,15.237422361567267,14.683442779128416,29.882897000836657,18.235049274778238,23.63301006121235,24.68067117122918,1.388304875091121,Gryffindor,10623,,Blackwood,15.0
Muggle-born,1.6627172788220663,13.34505878090091,10.589021942127887,10.66046752084727,6.115837033558876,49.54407336709716,66.34560691820673,19.20639892866281,Gryffindor,19000,,Blackwood,
Half-blood,7.0,7.0,3.0,3.0,5.0,2.0,2.0,7.0,Ravenclaw,12806,Zara,Blackwood,15.0
Muggle-born,6.0,2.0,7.0,6.0,4.0,4.0,3.0,4.0,Hufflepuff,9240,Evander,Blackwood,17.0
,,,,,,,,,,2675,Soren,Blackwood,11.0
Muggle-born,1.0,1.0,8.0,7.0,4.0,3.0,3.0,5.0,Hufflepuff,12246,Nerissa,Blackwood,14.0
Pure-blood,49.64859464310868,25.176591821975396,25.060104755599045,85.20361212458461,58.62250917872192,50.27706927035332,51.22722481660547,9.887924707700886,Slytherin,13782,Thalia,Blackwood,13.0
Pure-blood,38.28632418711721,25.631992431903758,6.710336002705129,17.65630888818709,4.750086217925423,8.075049111317702,8.058687650346682,25.524853665514357,Ravenclaw,3480,Evander,Blackwood,
Half-blood,,,5.0,,,,,,,11489,Anya,Blackwood,11.0
Muggle-born,1.1233834452155989,55.46807321645653,18.372629174998,14.30953398538082,9.450662272392258,13.500743708057062,4.683236419309045,57.64845341643799,Ravenclaw,4709,Rowan,Blackwood,17.0
Pure-blood,24.29169977868661,8.97624244281765,44.9821415358737,15.730045221366098,44.93354469494072,0.0,26.357886005295608,14.08292759382533,Ravenclaw,5553,Cassia,Blackwood,13.0
Pure-blood,,,,,,,,,Hufflepuff,12642,Seraphina,,14.0
Half-blood,12.991702130055868,21.27979078976969,20.382642560244427,43.91159528253336,2.407977402288369,47.39439308474519,41.98637071796506,6.278894519289301,Slytherin,19803,Amara,Blackwood,18.0
Half-blood,1.0,7.0,4.0,10.0,8.0,10.0,7.0,2.0,Slytherin,8465,Vesper,Blackwood,18.0
Pure-blood,4.0,3.0,9.0,1.0,2.0,7.0,5.0,4.0,Hufflepuff,4561,Galen,Blackwood,11.0
Pure-blood,16.25030707327071,31.027822633155363,43.558900119727305,26.443060257157214,0.0,0.0,1.617734918133022,8.617883680773108,Hufflepuff,19022,Zara,Blackwood,13.0
Muggle-born,3.927880034038648,65.45422081149405,5.605098483303047,17.00268437338335,2.8157656014118224,6.228197314862644,45.0505711943056,6.9877014704374725,Slytherin,1981,Galen,Blackwood,15.0
,,,,,,,,,,6203,Kai,Blackwood,13.0
,9.0,,,,1.0,,,2.0,,3909,Theo,Blackwood,12.0
,,,,,,,,7.0,,15324,Talia,Blackwood,
,,,,,,,,,,8957,Liora,Blackwood,11.0
Muggle-born,2.0,10.0,7.0,6.0,5.0,2.0,2.0,8.0,Ravenclaw,9942,Laziel,Blackwood,
Pure-blood,15.811743841347608,42.042738504686696,3.378501142086188,8.20705609051464,0.0,8.926138713873275,7.501169784168006,27.65617380231348,Ravenclaw,4276,Bran,,14.0
Muggle-born,26.066382286036216,13.422186084401256,4.500362632630914,74.91588945393943,82.44761578126426,20.06967009765809,69.88371422684894,22.800328277662267,Slytherin,15667,Soren,Blackwood,12.0
Pure-blood,16.31152404930176,9.63143008860153,48.74953826299009,28.48098747177273,7.616416458960925,1.482716997462048,17.89113206184352,44.6337741088723,Ravenclaw,5613,Nerissa,Blackwood,11.0
,,,9.0,,,4.0,,,Hufflepuff,11207,Jasper,Blackwood,
Half-blood,5.0,6.0,3.0,10.0,7.0,9.0,8.0,7.0,Slytherin,5976,Zara,Blackwood,11.0
Muggle-born,7.0,3.0,8.0,5.0,1.0,5.0,1.0,4.0,Hufflepuff,4242,Yara,,
Muggle-born,66.1510522596735,77.12452834576118,7.648957674861668,15.485873435870175,14.806566747865997,0.0,18.88881571716817,8.637765775052074,Ravenclaw,5209,Kieran,Blackwood,11.0
Half-blood,1.2288721420533306,53.92436845208293,47.147609220815056,12.67547001308817,8.161474299312495,0.0,44.79349344126886,22.70172942445612,Ravenclaw,3874,Dorian,Blackwood,16.0
,,,,,,,,,,5470,Nyx,Blackwood,11.0
Muggle-born,3.0,10.0,3.0,4.0,1.0,3.0,6.0,8.0,Ravenclaw,10731,Aurelia,Blackwood,17.0
Pure-blood,12.855689514817366,67.52264010870866,37.64418256098972,15.266686400852777,33.694143332008395,16.053144852520024,32.745256639813825,8.718270853517227,Ravenclaw,410,Mirek,Blackwood,16.0
Muggle-born,6.0,10.0,4.0,5.0,4.0,3.0,3.0,8.0,Ravenclaw,12070,Elio,Blackwood,14.0
Muggle-born,7.78791147291737,95.14861482069058,13.457546984209388,53.741649361079,0.8172834434545893,1.2839031624103825,11.775094642306351,72.90015431349266,Ravenclaw,13712,Thorne,Blackwood,11.0
Half-blood,27.79269731715317,16.17480046671328,75.99875284688883,6.7861870876777095,17.391248396256543,2.6361385457675315,8.227401170191834,32.75898429142598,Hufflepuff,14623,Laziel,Blackwood,13.0
,,,,2.0,,,3.0,,,18858,Fenris,Blackwood,15.0
,,,,,,,,,,4295,Nerissa,Blackwood,15.0
Muggle-born,8.0,4.0,6.0,5.0,1.0,6.0,10.0,7.0,Gryffindor,8496,Nyx,Blackwood,15.0
Half-blood,57.9009191829004,26.18133547187061,38.09642170784559,30.12562286441269,1.688158946207854,3.924528482569138,8.415133417300172,23.692912997290755,Gryffindor,4178,Cassia,Blackwood,17.0
,4.0,,,,,,,,,6643,Thorne,Blackwood,17.0
,,,,,,,,,,16911,Elio,Blackwood,17.0
Half-blood,13.517118663113289,74.74463071783342,2.2070160279112687,4.690660632383722,21.948450427306064,1.882393272428017,20.07683528543325,76.4830758855409,Ravenclaw,9585,Nyx,Blackwood,12.0
Muggle-born,23.97689306209669,26.09768653041181,37.69991065233248,64.60417711769583,33.92463212867319,48.74479610962598,39.85864773249937,18.51180624942891,Slytherin,10872,Yara,Blackwood,18.0
Muggle-born,7.0,1.0,8.0,1.0,1.0,0.0,7.0,5.0,Hufflepuff,7533,Zara,Blackwood,18.0
,,,,,,,,,,15253,Leif,Blackwood,18.0
Muggle-born,2.316238973779556,25.563167162640617,3.681504105659524,17.081535840676512,37.80197640891173,4.011019854856881,6.455272229348116,90.4034405458954,Ravenclaw,15176,Theo,Blackwood,13.0
Muggle-born,5.05461872011242,35.294389131837335,70.88656680156608,11.50341383236497,0.0,32.80020928376084,5.962769827360857,3.200831538106346,Hufflepuff,19518,,Blackwood,14.0
Muggle-born,6.0,6.0,4.0,9.0,9.0,5.0,10.0,5.0,Slytherin,1179,Yara,Blackwood,16.0
Half-blood,46.835602500564285,25.64242287573805,8.737201623948387,16.341651455825165,24.26593687490099,6.731354946048544,42.03041334018019,18.096175491147545,Gryffindor,18238,Yara,Blackwood,11.0
Pure-blood,1.0,2.0,5.0,8.0,10.0,8.0,8.0,3.0,Slytherin,18666,Theo,Blackwood,14.0
Half-blood,2.0,5.0,7.0,6.0,3.0,3.0,6.0,2.0,Hufflepuff,8375,Soren,Blackwood,13.0
,,,9.0,,,,,,,9301,Freya,Blackwood,18.0
Muggle-born,40.36227917566109,11.745320245763857,33.774245266559284,2.2234134147495905,0.0,40.2091697885308,33.88585169797376,21.582672095271857,Gryffindor,10227,Dorian,Blackwood,14.0
Pure-blood,3.0,6.0,9.0,4.0,1.0,4.0,1.0,7.0,Hufflepuff,2830,Ronan,Blackwood,12.0
Muggle-born,3.0,1.0,10.0,2.0,5.0,3.0,6.0,7.0,Hufflepuff,16178,Kieran,Blackwood,16.0
Muggle-born,6.0,1.0,7.0,5.0,5.0,4.0,3.0,1.0,Hufflepuff,17871,Fenris,Blackwood,16.0
,,,,,,,,,,18041,Theo,Blackwood,17.0
Pure-blood,6.356956072651957,2.7332165477891275,30.03917560634025,13.969436455346523,33.63909116316219,0.8617295739380975,0.1835561165096597,58.85234641331038,Ravenclaw,18504,Talia,Blackwood,14.0
Half-blood,32.312852544997924,9.019199197440743,77.97757351087151,62.34191861798792,2.8189963286641637,4.661107641432738,32.93825445883113,33.633914323750375,Hufflepuff,3244,Kai,Blackwood,16.0
Half-blood,18.391092386430984,3.9206762926039858,3.248895415605336,84.66230436192859,74.53050290617813,48.65185055623467,16.389441453475783,19.60696612276893,Slytherin,1750,Galen,Blackwood,
Muggle-born,1.0,7.0,6.0,10.0,9.0,6.0,10.0,2.0,Slytherin,13903,Isolde,Blackwood,
Muggle-born,2.0,5.0,7.0,3.0,0.0,0.0,4.0,6.0,Hufflepuff,7974,Dorian,Blackwood,14.0
Muggle-born,8.0,4.0,6.0,5.0,1.0,6.0,10.0,7.0,Gryffindor,6402,Anya,Blackwood,15.0
,,,,,,,,,,15326,Galen,Blackwood,14.0
,,,,,,,2.0,,,16956,,Blackwood,12.0
,6.0,,5.0,1.0,,7.0,1.0,9.0,,10708,Bastian,Blackwood,
Pure-blood,49.621484086864015,14.67525093241979,29.99102727763672,13.056745220471,31.07167845703868,31.360235939659045,50.75721228935257,3.506107687669332,Hufflepuff,7144,Zara,Blackwood,15.0
,,,,,,,,,,6913,Bran,,
,,,,,,,,,,3085,Eira,Blackwood,14.0
Muggle-born,5.0,9.0,6.0,6.0,0.0,5.0,4.0,9.0,Ravenclaw,10529,Oswin,Blackwood,17.0
Half-blood,5.0,3.0,1.0,7.0,9.0,5.0,10.0,3.0,Slytherin,102,Anya,Blackwood,13.0
Pure-blood,10.0,7.0,4.0,4.0,2.0,7.0,9.0,1.0,Gryffindor,12099,Elio,Blackwood,13.0
,,,,,,,,,,2288,Calliope,Blackwood,
Half-blood,3.0,8.0,1.0,4.0,1.0,0.0,5.0,9.0,Ravenclaw,6320,Elio,Blackwood,18.0
Half-blood,2.243916310295927,22.76859365868428,47.31377819171295,13.789654443820114,36.36549238014248,56.31056435327623,3.3459405278023358,47.30859524300984,Ravenclaw,17348,Amara,Blackwood,14.0
Half-blood,13.847364868701536,64.62365112531305,53.89547116677614,35.86012939636063,3.024739125721404,17.371270958153215,5.501902189489868,23.83463389124129,Hufflepuff,3403,Soren,Blackwood,13.0
Pure-blood,5.0,8.0,2.0,1.0,2.0,6.0,2.0,7.0,Ravenclaw,367,Seraphina,Blackwood,18.0
,,,,,,,,,,1299,Eira,Blackwood,13.0
,,,,,2.0,,10.0,,,14628,Leif,Blackwood,12.0
Pure-blood,70.10708639514537,4.419117468392004,11.37609685549839,3.544430621768224,0.0,9.858102892496266,65.12938015808226,3.38423065847969,Gryffindor,6325,Maia,Blackwood,18.0
,,,,,,,,,,12021,Maia,Blackwood,
Pure-blood,7.246584351252083,33.796235716114246,67.89770803286031,9.028062265683424,6.857423147870902,59.22715833690873,24.906993483093967,46.39465796448499,Ravenclaw,7165,Lucien,Blackwood,15.0
Half-blood,1.0,4.0,10.0,3.0,3.0,0.0,4.0,1.0,Hufflepuff,4519,Cassia,Blackwood,
Half-blood,20.54896308358473,10.105203630139869,8.991831175847288,20.43792680299777,44.96472318748184,59.29964673556006,46.22659583471271,26.57727580338061,Slytherin,4491,Lyra,Blackwood,15.0
Muggle-born,4.0,7.0,7.0,2.0,0.0,3.0,4.0,7.0,Ravenclaw,2986,Caius,Blackwood,13.0
Pure-blood,3.0,4.0,3.0,10.0,10.0,9.0,8.0,5.0,Slytherin,2351,Silas,Blackwood,14.0
,,9.0,6.0,1.0,0.0,,4.0,,Ravenclaw,16847,Ione,Blackwood,12.0
Pure-blood,10.0,1.0,6.0,4.0,5.0,9.0,8.0,5.0,Gryffindor,18275,,Blackwood,13.0
Pure-blood,2.0,2.0,10.0,5.0,5.0,2.0,7.0,1.0,Hufflepuff,19157,Aurelia,Blackwood,11.0
,,,,,,,,,,3589,Isolde,Blackwood,12.0
Half-blood,11.837905560310968,45.62576410954746,39.8025488205068,15.071503659538706,1.8716733616094468,3.70319982929404,9.389054936980616,19.26635681545099,Hufflepuff,3346,Rowan,Blackwood,14.0
Half-blood,,7.0,,,7.0,,,3.0,Slytherin,2488,,Blackwood,16.0
Pure-blood,6.0,9.0,1.0,5.0,1.0,3.0,3.0,8.0,Ravenclaw,13696,Ezra,Blackwood,15.0
Muggle-born,4.0,,7.0,6.0,1.0,,1.0,,,14436,Nyx,Blackwood,14.0
Pure-blood,,,,,,7.0,,3.0,Slytherin,7586,Thorne,Blackwood,13.0
Pure-blood,7.0,10.0,4.0,3.0,4.0,2.0,2.0,9.0,Ravenclaw,19864,Freya,Blackwood,15.0
Muggle-born,8.778911268303823,9.334369087849556,76.69953672397482,52.2902153880315,7.310523359950985,23.961116510558547,27.553594870540834,43.58025049354636,Hufflepuff,13142,Kai,Blackwood,15.0
,,,,,,,,6.0,,17681,Soren,Blackwood,15.0
Pure-blood,,,,,,,9.0,,,1827,Nerissa,Blackwood,12.0
,,,,,,,,,,11541,Nyx,Blackwood,18.0
,7.0,,,,,,8.0,,,409,Leif,Blackwood,18.0
Pure-blood,10.0,2.0,7.0,1.0,0.0,9.0,9.0,3.0,Gryffindor,12258,Galen,Blackwood,11.0
Half-blood,2.0,10.0,4.0,1.0,3.0,1.0,7.0,9.0,Ravenclaw,15986,Liora,Blackwood,11.0
,,,,,,,,,,11904,Ione,Blackwood,
Muggle-born,8.0,1.0,5.0,4.0,0.0,6.0,8.0,5.0,Gryffindor,15600,Theo,Blackwood,13.0
Pure-blood,5.0,5.0,1.0,10.0,9.0,7.0,10.0,1.0,Slytherin,7645,Vera,Blackwood,12.0
Pure-blood,7.0,6.0,9.0,6.0,5.0,1.0,4.0,4.0,Hufflepuff,11486,Bastian,Blackwood,13.0
,,,5.0,,,,,1.0,,3143,Nerissa,Blackwood,13.0
Pure-blood,9.0,7.0,4.0,1.0,0.0,8.0,8.0,1.0,Gryffindor,11645,Minerva,Blackwood,16.0
Muggle-born,1.0,8.0,6.0,2.0,2.0,2.0,1.0,10.0,Ravenclaw,13119,Kai,Blackwood,17.0
Pure-blood,3.0,1.0,8.0,6.0,4.0,3.0,7.0,3.0,Hufflepuff,825,Ezra,Blackwood,12.0
Half-blood,,,6.0,,,8.0,,,,17267,Talia,Blackwood,14.0
Half-blood,3.504442314837903,8.555866783850933,40.69342355720613,4.699355154538591,0.0,30.263089978917,5.226811133600875,22.63958203466377,Hufflepuff,15406,Bastian,Blackwood,16.0
,,,,,,,,,,9834,Aurelia,Blackwood,12.0
,,,,,,,,,,5688,Laziel,Blackwood,17.0
Muggle-born,1.0,9.0,6.0,4.0,4.0,1.0,2.0,7.0,Ravenclaw,12081,Vera,Blackwood,
,,,,,,,,,,9846,Bastian,Blackwood,
,,,,,,,,,,5703,Bastian,Blackwood,17.0
,,,,,,,,,,18101,Eira,Blackwood,12.0
Pure-blood,7.0,1.0,5.0,7.0,9.0,5.0,9.0,2.0,Slytherin,4411,Minerva,Blackwood,13.0
Muggle-born,17.181231035027423,0.5113286651027291,48.421647383605645,54.12769163566666,55.79452548920348,36.99795808361923,30.95969582070793,36.98502706023572,Slytherin,15961,,Blackwood,15.0
Pure-blood,57.37932701045023,27.44253930965433,45.41812587635862,5.284855101811151,9.37877079480578,0.0,65.91660886405492,53.017790253013374,Hufflepuff,12065,Thalia,Blackwood,13.0
Muggle-born,25.663296384471007,14.264357054069928,68.99721030468702,47.36724726605832,0.0,26.93831554343622,17.58700019776122,44.888694977444096,Hufflepuff,1245,Orion,Blackwood,11.0
,,,,,,,,,,14378,Ione,Blackwood,17.0
Half-blood,65.5405954198716,3.034002970357452,9.97150533746694,20.928100080216637,81.00143396774202,31.53433096182097,13.98558719477976,27.183053513969934,Slytherin,2870,,Blackwood,17.0
Muggle-born,6.0,10.0,7.0,5.0,1.0,0.0,6.0,9.0,Ravenclaw,16511,Seraphina,Blackwood,18.0
Muggle-born,1.0,6.0,7.0,4.0,5.0,1.0,3.0,7.0,Hufflepuff,2817,Ezra,Blackwood,17.0
,,,,,,,,,,17739,Cassia,Blackwood,16.0
Half-blood,8.398169647356598,44.35552336623596,22.52387270686785,7.06839139296755,29.273274618268506,26.13879321490992,10.83548857364288,15.661875229453514,Ravenclaw,2930,Vera,Blackwood,
Pure-blood,15.790392171544514,12.16761202602466,61.61895792527431,28.54047096490398,7.529998946604616,6.207641962948429,30.70787058335174,37.3878553831244,Hufflepuff,14316,,Blackwood,18.0
Pure-blood,12.53612593119409,25.38784384171152,9.44932672358424,86.66447722733096,22.13674437253518,19.80917165216392,47.18570849062877,7.442893028930113,Slytherin,12602,Maia,Blackwood,16.0
Half-blood,7.0,6.0,9.0,7.0,3.0,2.0,7.0,5.0,Hufflepuff,16171,Bastian,Blackwood,18.0
Muggle-born,5.0,6.0,9.0,1.0,5.0,4.0,3.0,2.0,Hufflepuff,4302,Lyra,Blackwood,12.0
Pure-blood,2.0,5.0,9.0,6.0,0.0,7.0,6.0,7.0,Hufflepuff,13992,Cassia,Blackwood,18.0
Muggle-born,4.0,4.0,6.0,9.0,7.0,8.0,10.0,7.0,Slytherin,7570,Dorian,Blackwood,11.0
Half-blood,6.0,9.0,7.0,6.0,1.0,0.0,7.0,8.0,Ravenclaw,10321,Talia,Blackwood,12.0
Pure-blood,33.80033223408051,3.3004517493641496,8.228745599352498,18.046307055535355,17.24388679686188,47.997892318033344,17.505626542810145,6.16614926101972,Gryffindor,11763,Leif,Blackwood,16.0
,,,,,,,,,,7581,Jasper,Blackwood,11.0
Pure-blood,2.0,9.0,4.0,2.0,0.0,1.0,3.0,10.0,Ravenclaw,17886,Oswin,Blackwood,18.0
Muggle-born,5.0,8.0,5.0,6.0,4.0,5.0,1.0,10.0,Ravenclaw,7647,Ione,Blackwood,13.0
,,,,,,,,,,12040,Kai,Blackwood,11.0
Pure-blood,10.0,1.0,6.0,4.0,5.0,9.0,8.0,5.0,Gryffindor,8954,Maia,Blackwood,14.0
Pure-blood,3.0,3.0,2.0,10.0,10.0,9.0,9.0,2.0,Slytherin,3452,Galen,Blackwood,15.0
,,10.0,,,,,,,Ravenclaw,16343,Kieran,Blackwood,17.0
,,6.0,8.0,,0.0,,3.0,,,1860,Rowan,Blackwood,13.0
Half-blood,52.1620323687717,1.4747023381826687,3.0959306389934924,29.23528439019671,0.0,15.893630669932003,28.517378691729867,44.86108973932694,Gryffindor,5267,Lucien,Blackwood,11.0
Muggle-born,3.0,3.0,1.0,7.0,9.0,5.0,8.0,4.0,Slytherin,6813,Kai,Blackwood,12.0
,,,,,,,,,,16413,Laziel,Blackwood,18.0
Pure-blood,10.0,7.0,6.0,5.0,2.0,9.0,7.0,2.0,Gryffindor,5933,Vesper,Blackwood,13.0
,,,,9.0,,,,,,12476,Laziel,Blackwood,11.0
Muggle-born,3.0,7.0,9.0,2.0,2.0,7.0,2.0,7.0,Hufflepuff,4618,Kai,Blackwood,11.0
Muggle-born,6.0,3.0,4.0,7.0,10.0,8.0,8.0,7.0,Slytherin,8240,Yara,Blackwood,15.0
Muggle-born,1.0,3.0,6.0,10.0,7.0,6.0,8.0,4.0,Slytherin,11060,Alaric,Blackwood,12.0
Muggle-born,5.0,5.0,7.0,3.0,4.0,5.0,6.0,4.0,Hufflepuff,15836,,Blackwood,18.0
Muggle-born,14.76161888988566,11.653371695229746,55.88835983909031,4.138827579691434,17.110430485532408,1.4095814496617045,25.20427388264836,56.15897386704975,Hufflepuff,3798,Laziel,Blackwood,15.0
Pure-blood,,,,,,,,,,11991,Evander,Blackwood,14.0
Pure-blood,3.0,2.0,8.0,4.0,0.0,3.0,7.0,4.0,Hufflepuff,19269,Caius,Blackwood,
Pure-blood,2.0,2.0,4.0,8.0,10.0,6.0,8.0,1.0,Slytherin,19336,,Blackwood,18.0
Half-blood,5.0,7.0,1.0,9.0,7.0,9.0,10.0,5.0,Slytherin,9001,Laziel,Blackwood,11.0
Half-blood,80.43893284542551,16.089564034961064,5.220568117699816,2.91709095154398,21.830307766380187,10.589588437190669,38.238179327776656,16.749607876711025,Gryffindor,12756,Yara,Blackwood,
Half-blood,29.779963064356952,10.365292596781346,71.52867070076272,13.923603718445964,4.077771383424079,22.1641371833937,2.735035739022839,21.986372196773235,Hufflepuff,15173,Alaric,Blackwood,
,,,,,,,,,,11810,Thorne,Blackwood,
Muggle-born,8.0,5.0,7.0,1.0,5.0,10.0,8.0,2.0,Gryffindor,10185,Ronan,Blackwood,11.0
Muggle-born,6.532200764094776,3.634809809095493,63.14392796281284,37.61882245675992,0.0,47.92889557032351,3.054579847748564,8.430198996060094,Hufflepuff,19579,Laziel,Blackwood,11.0
,,,,,,,,,,17953,Aurelia,Blackwood,13.0
Half-blood,13.032797515226706,26.285318463522582,36.52833599266064,14.1095553313426,13.72944673916156,18.363080808899188,2.201546832065402,28.84903313076313,Hufflepuff,8014,Nerissa,Blackwood,12.0
,,,,,,9.0,,,,12233,Leif,Blackwood,11.0
Half-blood,6.740867768743949,18.13331086673264,18.44031811505443,45.6849158493163,0.0,12.710764001640642,95.00376568011222,32.27502262353971,Gryffindor,16835,Seraphina,Blackwood,18.0
Muggle-born,7.0,7.0,2.0,10.0,7.0,10.0,7.0,2.0,Slytherin,7336,Eira,Blackwood,
,,,,,,,,,,10483,Vera,Blackwood,13.0
Muggle-born,7.0,3.0,5.0,8.0,8.0,7.0,10.0,6.0,Slytherin,17085,Seraphina,Blackwood,13.0
Half-blood,7.0,3.0,7.0,3.0,2.0,4.0,5.0,4.0,Hufflepuff,5343,Mirek,Blackwood,15.0
,,,,,,,,,,246,Oswin,Blackwood,
Half-blood,7.0,10.0,3.0,1.0,2.0,7.0,2.0,10.0,Ravenclaw,17876,Vesper,Blackwood,
Pure-blood,1.0,7.0,9.0,6.0,2.0,1.0,5.0,5.0,Hufflepuff,7276,Oswin,Blackwood,13.0
Half-blood,6.0,8.0,2.0,6.0,4.0,1.0,7.0,8.0,Ravenclaw,4365,Anya,Blackwood,11.0
Muggle-born,0.999302835763802,8.841251708165133,6.8271757736570695,35.79283452406421,35.5061128144332,72.39258946203311,27.40709666220338,7.4022574796670515,Slytherin,2433,Nerissa,Blackwood,13.0
Half-blood,7.0,3.0,9.0,5.0,3.0,5.0,7.0,4.0,Hufflepuff,14165,Theo,Blackwood,18.0
,,,,,,,,,,19728,Ronan,Blackwood,
Muggle-born,3.0,7.0,9.0,6.0,3.0,7.0,3.0,1.0,Hufflepuff,16859,Dorian,Blackwood,12.0
Half-blood,1.0,6.0,10.0,4.0,1.0,6.0,7.0,5.0,Hufflepuff,11069,Lyra,Blackwood,12.0
,8.0,,,,,,,,Gryffindor,16118,Alaric,Blackwood,12.0
,,2.0,5.0,,,,,,,17528,Nyx,Blackwood,12.0
Muggle-born,12.970093502263303,8.736543503171422,6.7026211321664055,13.040085342441118,4.930505400266969,33.4824833422675,13.681055889661552,25.948519673057294,Slytherin,19867,Amara,Blackwood,16.0
Muggle-born,4.0,7.0,2.0,4.0,3.0,3.0,1.0,7.0,Ravenclaw,19482,Thalia,Blackwood,18.0
Muggle-born,,,,,,,,,,2735,Liora,Blackwood,13.0
Half-blood,8.0,3.0,1.0,1.0,4.0,6.0,8.0,6.0,Gryffindor,4921,,Blackwood,12.0
Pure-blood,7.219550216385613,2.227202984162368,21.077210739559263,74.10508250672548,12.380495345390704,5.001666673861327,54.647770354323846,48.78591943167971,Slytherin,17356,Fenris,Blackwood,18.0
Half-blood,5.0,3.0,4.0,9.0,7.0,6.0,7.0,3.0,Slytherin,19599,,Blackwood,15.0
Half-blood,,,,7.0,,5.0,,,Gryffindor,14524,Calliope,Blackwood,15.0
Pure-blood,1.0,9.0,6.0,5.0,0.0,6.0,4.0,9.0,Ravenclaw,13642,Minerva,Blackwood,15.0
,,4.0,,,,,9.0,5.0,,1296,Soren,Blackwood,15.0
Pure-blood,2.0,7.0,10.0,4.0,4.0,1.0,6.0,7.0,Hufflepuff,4184,Ines,Blackwood,
Half-blood,5.0,3.0,7.0,3.0,3.0,5.0,6.0,7.0,Hufflepuff,18705,Bran,Blackwood,12.0
Muggle-born,25.822616171314444,38.20014077192482,1.520886821951292,8.511214568625817,0.0,31.578068417596487,64.24829686776951,38.986187877482,Gryffindor,1977,Galen,Blackwood,14.0
Pure-blood,4.74260931039517,28.939360260558047,13.370888093196264,62.86111110849269,7.730889993795109,59.42960484341235,78.60043818478074,39.35974644217968,Slytherin,13780,Freya,Blackwood,18.0
Muggle-born,2.0,1.0,5.0,10.0,7.0,9.0,7.0,1.0,Slytherin,17931,Fenris,Blackwood,17.0
Half-blood,7.0,5.0,1.0,7.0,10.0,10.0,8.0,4.0,Slytherin,6970,,Blackwood,14.0
,7.0,,,,4.0,,9.0,6.0,,10064,Ronan,Blackwood,11.0
Pure-blood,9.0,7.0,2.0,3.0,1.0,5.0,9.0,6.0,Gryffindor,13042,Thorne,Blackwood,12.0
,,,,,,,,,,1113,Alaric,Blackwood,17.0
Half-blood,5.0,8.0,7.0,6.0,0.0,0.0,1.0,10.0,Ravenclaw,17976,,Blackwood,18.0
Muggle-born,66.09141250258298,5.61830450735703,55.56600396780365,62.683637996270825,6.43127191490761,56.23595984527679,10.439113106284086,23.047254822611126,Slytherin,1956,Mirek,Blackwood,11.0
Half-blood,6.0,6.0,7.0,3.0,3.0,4.0,4.0,6.0,Hufflepuff,19274,Alaric,Blackwood,
,,,,,,,,,,14214,Ronan,Blackwood,12.0
Muggle-born,33.08666242464691,38.244507064097824,53.899742959787446,24.03924255397346,21.9361104006686,24.411664875881144,26.077371855531368,46.54046772234799,Slytherin,13118,Lucien,Blackwood,18.0
,7.0,5.0,,,,7.0,,,Slytherin,10793,Amara,Blackwood,
Half-blood,9.0,7.0,7.0,5.0,4.0,7.0,10.0,1.0,Gryffindor,14384,Amara,Blackwood,18.0
