Blood Status,Bravery,Intelligence,Loyalty,Ambition,Dark Arts Knowledge,Quidditch Skills,Dueling Skills,Creativity,House,Name,Surname,Age,ID
Muggle-born,4.0,3.0,2,10,10,5.0,7,2,Slytherin,,,,
Muggle-born,,1.0,10,2,5,3.0,6,7,Hufflepuff,,,,
Muggle-born,4.0,6.0,8,1,0,1.0,3,5,Hufflepuff,,,,
Pure-blood,1.0,7.0,10,4,1,4.0,4,6,Hufflepuff,,,,
Pure-blood,6.0,5.0,9,5,3,7.0,3,4,Hufflepuff,,,,
Pure-blood,6.0,10.0,5,1,2,7.0,1,9,Ravenclaw,,,,
Pure-blood,2.0,9.0,4,2,0,1.0,3,10,Ravenclaw,,,,
Pure-blood,3.0,8.0,3,3,0,1.0,7,9,Ravenclaw,,,,
Half-blood,5.0,10.0,1,5,0,2.0,5,9,Ravenclaw,,,,
Pure-blood,2.0,7.0,8,7,1,5.0,7,6,Hufflepuff,,,,
Half-blood,8.0,3.0,1,1,4,6.0,8,6,Gryffindor,,,,
Muggle-born,5.0,1.0,4,9,10,5.0,10,7,Slytherin,,,,
Pure-blood,8.0,7.0,3,1,0,7.0,9,6,Gryffindor,,,,
Pure-blood,6.0,6.0,5,10,8,5.0,9,2,Slytherin,,,,
Half-blood,7.0,7.0,3,3,5,2.0,2,7,Ravenclaw,,,,
Pure-blood,3.0,7.0,4,7,5,4.0,6,8,Ravenclaw,,,,
Pure-blood,5.0,8.0,2,1,2,,2,7,Ravenclaw,,,,
Half-blood,,7.0,9,2,2,2.0,1,5,Hufflepuff,,,,
Pure-blood,5.0,9.0,7,7,5,0.0,7,10,Ravenclaw,,,,
Muggle-born,7.0,1.0,8,1,0,2.0,3,7,Hufflepuff,,,,
Muggle-born,1.0,5.0,10,2,3,7.0,1,5,Hufflepuff,,,,
Muggle-born,2.0,10.0,7,6,5,2.0,2,8,Ravenclaw,,,,
Muggle-born,1.0,,7,7,0,4.0,3,3,Hufflepuff,,,,
Half-blood,10.0,6.0,5,3,3,5.0,9,2,Gryffindor,,,,
Pure-blood,1.0,2.0,9,7,5,6.0,5,6,Hufflepuff,,,,
Pure-blood,8.0,5.0,1,2,2,8.0,7,6,Gryffindor,,,,
Pure-blood,7.0,5.0,7,2,4,3.0,6,2,Hufflepuff,,,,
Muggle-born,9.0,6.0,4,1,4,6.0,7,2,Gryffindor,,,,
Pure-blood,2.0,7.0,7,10,10,8.0,8,2,Slytherin,,,,
Muggle-born,1.0,9.0,6,4,4,1.0,2,7,Ravenclaw,,,,
Muggle-born,6.0,7.0,7,6,0,0.0,6,5,Hufflepuff,,,,
Pure-blood,7.0,,3,7,7,5.0,8,2,Slytherin,,,,
Half-blood,2.0,7.0,5,6,3,3.0,1,7,Ravenclaw,,,,
Pure-blood,10.0,1.0,6,4,5,9.0,8,5,Gryffindor,,,,
Half-blood,4.0,8.0,7,1,5,2.0,7,8,Ravenclaw,,,,
Muggle-born,2.0,5.0,1,8,7,5.0,8,5,Slytherin,,,,
Half-blood,1.0,,3,9,10,7.0,10,5,Slytherin,,,,
Pure-blood,2.0,7.0,3,3,1,3.0,4,8,Ravenclaw,,,,
Muggle-born,7.0,6.0,9,4,2,5.0,4,7,Hufflepuff,,,,
Muggle-born,5.0,1.0,6,7,8,5.0,8,4,Slytherin,,,,
Half-blood,3.0,7.0,1,1,2,7.0,6,7,Ravenclaw,,,,
Half-blood,3.0,,7,2,0,5.0,4,9,Ravenclaw,,,,
Half-blood,7.0,4.0,4,1,1,7.0,7,4,Gryffindor,,,,
Half-blood,9.0,6.0,4,1,4,7.0,9,2,Gryffindor,,,,
Pure-blood,3.0,4.0,1,10,9,6.0,10,7,Slytherin,,,,
Muggle-born,7.0,4.0,4,8,9,5.0,9,6,Slytherin,,,,
Pure-blood,5.0,10.0,4,4,3,7.0,5,10,Ravenclaw,,,,
Muggle-born,4.0,10.0,3,1,2,0.0,6,10,Ravenclaw,,,,
Pure-blood,9.0,3.0,7,5,1,9.0,9,4,Gryffindor,,,,
Pure-blood,1.0,,6,7,8,9.0,9,2,Slytherin,,,,
Half-blood,4.0,7.0,7,6,1,7.0,3,7,Ravenclaw,,,,
Half-blood,6.0,8.0,3,1,4,3.0,6,10,Ravenclaw,,,,
Half-blood,7.0,,6,2,4,7.0,9,2,Gryffindor,,,,
Half-blood,5.0,6.0,9,2,4,2.0,1,5,Hufflepuff,,,,
Muggle-born,7.0,4.0,2,7,0,6.0,9,5,Gryffindor,,,,
Pure-blood,7.0,5.0,5,10,7,6.0,7,6,Slytherin,,,,
Muggle-born,3.0,8.0,2,7,2,6.0,4,8,Ravenclaw,,,,
Half-blood,7.0,6.0,7,5,3,2.0,1,5,Hufflepuff,,,,
Pure-blood,3.0,4.0,7,1,4,6.0,3,5,Hufflepuff,,,,
Muggle-born,3.0,4.0,4,7,8,10.0,7,6,Slytherin,,,,
Muggle-born,7.0,2.0,7,7,7,8.0,9,3,Slytherin,,,,
Half-blood,10.0,6.0,3,1,4,7.0,7,6,Gryffindor,,,,
Muggle-born,8.0,4.0,1,5,1,6.0,8,4,Gryffindor,,,,
Muggle-born,6.0,7.0,1,3,0,,6,7,Ravenclaw,,,,
Pure-blood,2.0,9.0,7,4,4,5.0,2,7,Ravenclaw,,,,
Muggle-born,1.0,8.0,6,2,2,2.0,1,10,Ravenclaw,,,,
Muggle-born,3.0,5.0,6,7,8,,8,1,Slytherin,,,,
Muggle-born,6.0,5.0,8,1,4,1.0,7,2,Hufflepuff,,,,
Half-blood,7.0,1.0,7,2,3,2.0,6,3,Hufflepuff,,,,
Half-blood,4.0,2.0,7,10,10,6.0,10,1,Slytherin,,,,
Muggle-born,3.0,9.0,5,4,2,1.0,6,9,Ravenclaw,,,,
Pure-blood,2.0,5.0,9,4,0,6.0,1,4,Hufflepuff,,,,
Muggle-born,4.0,,1,7,9,6.0,8,7,Slytherin,,,,
Pure-blood,3.0,3.0,2,8,9,6.0,7,4,Slytherin,,,,
Half-blood,6.0,7.0,2,2,0,4.0,7,8,Ravenclaw,,,,
Pure-blood,5.0,2.0,5,9,10,9.0,7,7,Slytherin,,,,
Half-blood,2.0,7.0,7,10,8,8.0,7,4,Slytherin,,,,
Muggle-born,10.0,3.0,6,2,2,10.0,7,3,Gryffindor,,,,
Muggle-born,4.0,7.0,9,4,3,4.0,7,6,Hufflepuff,,,,
Half-blood,6.0,8.0,4,1,3,3.0,4,9,Ravenclaw,,,,
Muggle-born,2.0,5.0,9,3,0,4.0,1,1,Hufflepuff,,,,
Muggle-born,7.0,1.0,6,10,10,9.0,10,1,Slytherin,,,,
Pure-blood,9.0,3.0,3,1,0,9.0,7,2,Gryffindor,,,,
Pure-blood,8.0,5.0,5,2,5,10.0,7,1,Gryffindor,,,,
Half-blood,6.0,6.0,10,2,1,4.0,2,2,Hufflepuff,,,,
Half-blood,2.0,4.0,8,2,5,7.0,2,6,Hufflepuff,,,,
Muggle-born,9.0,1.0,2,4,1,6.0,10,5,Gryffindor,,,,
Muggle-born,4.0,9.0,3,2,0,7.0,7,7,Ravenclaw,,,,
Half-blood,7.0,9.0,2,6,3,0.0,1,9,Ravenclaw,,,,
Pure-blood,4.0,6.0,4,7,8,9.0,9,7,Slytherin,,,,
Pure-blood,4.0,2.0,9,7,4,3.0,1,1,Hufflepuff,,,,
Pure-blood,2.0,6.0,8,5,2,3.0,3,5,Hufflepuff,,,,
Half-blood,7.0,6.0,9,7,5,6.0,3,4,Hufflepuff,,,,
Pure-blood,6.0,10.0,5,3,2,7.0,7,9,Ravenclaw,,,,
Half-blood,4.0,3.0,10,4,0,4.0,7,5,Hufflepuff,,,,
Muggle-born,8.0,7.0,3,6,1,6.0,9,6,Gryffindor,,,,
Pure-blood,8.0,7.0,4,1,0,7.0,10,7,Gryffindor,,,,
Half-blood,9.0,7.0,6,4,4,7.0,9,1,Gryffindor,,,,
Muggle-born,1.0,3.0,7,6,1,1.0,2,6,Hufflepuff,,,,
Half-blood,7.0,9.0,3,1,0,0.0,4,9,Ravenclaw,,,,
Muggle-born,4.0,4.0,9,4,0,4.0,6,3,Hufflepuff,,,,
Half-blood,6.0,,4,10,9,6.0,9,1,Slytherin,,,,
Half-blood,7.0,6.0,6,7,7,6.0,8,5,Slytherin,,,,
Muggle-born,7.0,,8,2,0,1.0,6,7,Hufflepuff,,,,
Muggle-born,1.0,2.0,10,7,3,2.0,5,6,Hufflepuff,,,,
Half-blood,6.0,3.0,10,2,1,1.0,6,4,Hufflepuff,,,,
Muggle-born,4.0,,2,9,10,8.0,7,4,Slytherin,,,,
Muggle-born,6.0,2.0,2,9,7,10.0,8,6,Slytherin,,,,
Muggle-born,8.0,4.0,5,7,0,7.0,10,1,Gryffindor,,,,
Pure-blood,8.0,2.0,5,3,4,6.0,7,7,Gryffindor,,,,
Muggle-born,5.0,1.0,2,10,8,6.0,9,4,Slytherin,,,,
Pure-blood,2.0,9.0,1,2,3,4.0,5,10,Ravenclaw,,,,
Half-blood,3.0,3.0,7,7,9,7.0,7,4,Slytherin,,,,
Muggle-born,,3.0,7,7,7,7.0,10,6,Slytherin,,,,
Pure-blood,3.0,2.0,8,4,0,3.0,7,4,Hufflepuff,,,,
Half-blood,2.0,4.0,2,7,10,7.0,10,7,Slytherin,,,,
Pure-blood,2.0,5.0,7,5,0,0.0,2,2,Hufflepuff,,,,
Pure-blood,3.0,5.0,10,2,4,7.0,2,4,Hufflepuff,,,,
Half-blood,3.0,3.0,9,5,3,3.0,1,4,Hufflepuff,,,,
Half-blood,6.0,8.0,2,6,4,1.0,7,8,Ravenclaw,,,,
Muggle-born,1.0,10.0,5,4,1,5.0,4,10,Slytherin,,,,
Half-blood,6.0,9.0,1,4,5,0.0,6,9,Ravenclaw,,,,
Half-blood,1.0,3.0,8,6,5,2.0,3,2,Hufflepuff,,,,
Pure-blood,7.0,2.0,6,3,0,6.0,8,7,Gryffindor,,,,
Half-blood,,4.0,7,6,4,7.0,2,6,Hufflepuff,,,,
Pure-blood,7.0,8.0,6,2,5,6.0,1,9,Ravenclaw,,,,
Pure-blood,,1.0,1,7,2,6.0,9,5,Gryffindor,,,,
Half-blood,6.0,5.0,8,7,0,7.0,3,3,Hufflepuff,,,,
Half-blood,7.0,1.0,5,2,1,7.0,7,5,Gryffindor,,,,
Muggle-born,3.0,1.0,8,1,1,3.0,2,7,Hufflepuff,,,,
Muggle-born,7.0,10.0,2,6,1,5.0,1,10,Ravenclaw,,,,
Muggle-born,2.0,3.0,1,9,9,,9,6,Slytherin,,,,
Muggle-born,10.0,3.0,4,2,1,7.0,10,3,Gryffindor,,,,
Muggle-born,3.0,3.0,5,10,10,5.0,8,6,Slytherin,,,,
Pure-blood,7.0,,5,5,3,9.0,9,6,Gryffindor,,,,
Half-blood,7.0,7.0,1,5,1,9.0,8,4,Gryffindor,,,,
Pure-blood,,3.0,5,7,7,5.0,9,2,Slytherin,,,,
Muggle-born,8.0,7.0,3,1,0,9.0,10,4,Gryffindor,,,,
Half-blood,,10.0,2,3,2,1.0,6,10,Ravenclaw,,,,
Half-blood,,8.0,2,5,2,5.0,2,10,Ravenclaw,,,,
Muggle-born,1.0,8.0,2,1,4,5.0,5,10,Ravenclaw,,,,
Pure-blood,,7.0,2,1,4,5.0,10,6,Gryffindor,,,,
Muggle-born,9.0,7.0,1,6,1,7.0,7,5,Gryffindor,,,,
Half-blood,2.0,5.0,7,6,3,3.0,6,2,Hufflepuff,,,,
Half-blood,3.0,9.0,3,2,1,7.0,6,9,Ravenclaw,,,,
Muggle-born,2.0,,3,9,7,10.0,10,1,Slytherin,,,,
Half-blood,1.0,1.0,1,7,7,10.0,7,5,Slytherin,,,,
Muggle-born,2.0,,1,2,3,0.0,5,8,Ravenclaw,,,,
Pure-blood,4.0,1.0,6,9,7,5.0,10,5,Slytherin,,,,
Muggle-born,6.0,5.0,8,2,3,2.0,2,1,Hufflepuff,,,,
Muggle-born,6.0,7.0,3,7,10,9.0,10,7,Slytherin,,,,
Pure-blood,1.0,3.0,3,7,7,7.0,7,2,Slytherin,,,,
Half-blood,4.0,9.0,4,3,5,2.0,1,10,Ravenclaw,,,,
Pure-blood,1.0,6.0,1,7,10,,10,1,Slytherin,,,,
Half-blood,9.0,7.0,7,5,4,7.0,10,1,Gryffindor,,,,
Muggle-born,2.0,6.0,7,10,8,9.0,10,1,Gryffindor,,,,
Half-blood,,3.0,4,3,5,8.0,10,4,Gryffindor,,,,
Muggle-born,9.0,1.0,6,3,1,10.0,9,4,Gryffindor,,,,
Half-blood,4.0,7.0,1,2,4,0.0,1,10,Ravenclaw,,,,
Pure-blood,4.0,6.0,9,2,2,5.0,7,4,Hufflepuff,,,,
Half-blood,7.0,2.0,1,2,1,5.0,8,7,Gryffindor,,,,
Half-blood,5.0,4.0,7,7,0,4.0,4,2,Hufflepuff,,,,
Muggle-born,10.0,2.0,7,2,4,8.0,9,5,Gryffindor,,,,
Muggle-born,1.0,10.0,1,2,5,2.0,7,9,Ravenclaw,,,,
Half-blood,3.0,5.0,10,2,5,5.0,2,2,Hufflepuff,,,,
Muggle-born,4.0,4.0,6,9,7,8.0,10,7,Slytherin,,,,
Half-blood,4.0,7.0,9,7,3,3.0,7,1,Hufflepuff,,,,
Half-blood,9.0,7.0,2,5,1,7.0,9,5,Gryffindor,,,,
Pure-blood,10.0,6.0,6,6,3,6.0,9,7,Gryffindor,,,,
Pure-blood,1.0,4.0,1,8,7,5.0,9,7,Slytherin,,,,
Muggle-born,6.0,7.0,10,1,4,7.0,7,5,Hufflepuff,,,,
Pure-blood,7.0,9.0,7,6,4,5.0,4,9,Ravenclaw,,,,
Pure-blood,2.0,8.0,7,4,4,6.0,1,8,Ravenclaw,,,,
Pure-blood,3.0,3.0,8,2,3,4.0,1,6,Hufflepuff,,,,
Muggle-born,,,3,2,3,,2,8,Ravenclaw,,,,
Half-blood,6.0,3.0,9,3,4,0.0,7,6,Hufflepuff,,,,
Pure-blood,3.0,3.0,10,5,2,,5,2,Hufflepuff,,,,
Half-blood,5.0,4.0,6,8,10,5.0,9,4,Slytherin,,,,
Half-blood,1.0,3.0,3,9,10,7.0,9,3,Slytherin,,,,
Pure-blood,8.0,2.0,5,4,1,8.0,10,7,Gryffindor,,,,
Pure-blood,1.0,7.0,1,5,2,4.0,3,8,Ravenclaw,,,,
Half-blood,3.0,5.0,9,2,0,3.0,2,2,Hufflepuff,,,,
Half-blood,9.0,4.0,2,5,1,8.0,10,2,Gryffindor,,,,
Pure-blood,2.0,5.0,10,4,2,2.0,2,1,Hufflepuff,,,,
Pure-blood,4.0,10.0,1,1,4,0.0,2,9,Ravenclaw,,,,
Muggle-born,5.0,7.0,4,6,4,3.0,1,10,Ravenclaw,,,,
Half-blood,7.0,6.0,8,3,0,4.0,3,4,Hufflepuff,,,,
Muggle-born,2.0,1.0,8,1,3,6.0,1,3,Hufflepuff,,,,
Pure-blood,5.0,,4,8,10,8.0,10,1,Slytherin,,,,
Pure-blood,4.0,1.0,10,5,4,2.0,4,1,Hufflepuff,,,,
Half-blood,3.0,,1,7,7,8.0,10,3,Slytherin,,,,
Pure-blood,3.0,4.0,10,1,3,,3,4,Hufflepuff,,,,
Half-blood,1.0,4.0,10,7,5,1.0,3,5,Hufflepuff,,,,
Half-blood,1.0,1.0,3,9,7,7.0,9,4,Slytherin,,,,
Muggle-born,7.0,5.0,8,2,5,3.0,3,5,Hufflepuff,,,,
Pure-blood,1.0,7.0,1,2,4,3.0,6,9,Gryffindor,,,,
Muggle-born,4.0,7.0,7,8,9,10.0,7,4,Slytherin,,,,
Pure-blood,9.0,5.0,5,7,2,7.0,8,7,Gryffindor,,,,
Half-blood,,8.0,4,2,4,4.0,4,9,Ravenclaw,,,,
Half-blood,8.0,5.0,1,6,2,10.0,10,5,Gryffindor,,,,
Pure-blood,1.0,7.0,9,6,2,1.0,5,5,Hufflepuff,,,,
Muggle-born,7.0,9.0,6,1,2,3.0,2,7,Ravenclaw,,,,
Pure-blood,1.0,7.0,7,10,8,8.0,9,4,Slytherin,,,,
Pure-blood,2.0,,6,7,9,10.0,10,6,Slytherin,,,,
Half-blood,9.0,4.0,4,4,3,5.0,10,4,Gryffindor,,,,
Muggle-born,7.0,4.0,3,4,1,8.0,9,6,Gryffindor,,,,
Muggle-born,3.0,2.0,7,9,10,6.0,7,4,Slytherin,,,,
Half-blood,10.0,5.0,6,3,0,7.0,9,1,Gryffindor,,,,
Muggle-born,5.0,,6,8,9,6.0,8,4,Slytherin,,,,
Half-blood,2.0,4.0,4,8,8,6.0,8,1,Slytherin,,,,
Half-blood,6.0,6.0,7,3,3,4.0,4,6,Hufflepuff,,,,
Muggle-born,1.0,9.0,5,6,5,7.0,1,7,Ravenclaw,,,,
Pure-blood,1.0,6.0,6,7,9,,7,6,Slytherin,,,,
Half-blood,4.0,8.0,2,2,1,0.0,7,10,Ravenclaw,,,,
Half-blood,9.0,5.0,5,7,0,9.0,9,4,Gryffindor,,,,
Muggle-born,6.0,9.0,1,5,1,4.0,3,10,Ravenclaw,,,,
Muggle-born,7.0,7.0,2,10,7,10.0,7,2,Slytherin,,,,
Muggle-born,6.0,8.0,5,6,4,0.0,1,10,Ravenclaw,,,,
Muggle-born,6.0,1.0,7,5,5,4.0,3,1,Hufflepuff,,,,
Half-blood,2.0,6.0,7,3,0,2.0,4,1,Hufflepuff,,,,
Half-blood,9.0,6.0,1,5,5,6.0,9,3,Gryffindor,,,,
Half-blood,1.0,,2,10,9,5.0,7,2,Slytherin,,,,
Half-blood,4.0,9.0,6,2,3,6.0,3,9,Ravenclaw,,,,
Pure-blood,4.0,9.0,7,5,4,4.0,6,8,Ravenclaw,,,,
Muggle-born,7.0,5.0,7,6,2,5.0,9,1,Gryffindor,,,,
Half-blood,5.0,9.0,7,5,1,5.0,2,8,Ravenclaw,,,,
Half-blood,2.0,,2,6,1,0.0,7,10,Ravenclaw,,,,
Half-blood,7.0,4.0,5,1,5,5.0,8,7,Gryffindor,,,,
Pure-blood,5.0,8.0,2,7,3,2.0,4,9,Ravenclaw,,,,
Muggle-born,4.0,7.0,10,4,4,5.0,3,2,Hufflepuff,,,,
Half-blood,7.0,9.0,7,4,4,7.0,2,7,Ravenclaw,,,,
Muggle-born,6.0,10.0,4,5,4,3.0,3,8,Ravenclaw,,,,
Half-blood,6.0,1.0,8,4,3,3.0,4,2,Hufflepuff,,,,
Pure-blood,8.0,6.0,1,5,2,,8,2,Gryffindor,,,,
Half-blood,4.0,2.0,9,1,2,,1,5,Hufflepuff,,,,
Muggle-born,9.0,1.0,2,4,0,6.0,8,2,Gryffindor,,,,
Pure-blood,2.0,5.0,9,6,0,7.0,6,7,Hufflepuff,,,,
Muggle-born,5.0,10.0,6,7,5,0.0,5,9,Ravenclaw,,,,
Pure-blood,5.0,1.0,1,9,9,8.0,7,1,Slytherin,,,,
Half-blood,6.0,7.0,8,5,5,4.0,7,5,Hufflepuff,,,,
Muggle-born,8.0,6.0,7,6,1,8.0,8,2,Gryffindor,,,,
Half-blood,1.0,2.0,8,5,1,1.0,3,4,Hufflepuff,,,,
Muggle-born,5.0,6.0,9,1,5,4.0,3,2,Hufflepuff,,,,
Half-blood,4.0,4.0,8,7,5,7.0,1,2,Hufflepuff,,,,
Half-blood,2.0,5.0,2,7,8,8.0,9,6,Slytherin,,,,
Half-blood,1.0,6.0,10,4,1,6.0,7,5,Hufflepuff,,,,
Half-blood,,4.0,10,3,3,,4,1,Hufflepuff,,,,
Muggle-born,1.0,7.0,8,4,4,4.0,4,7,Hufflepuff,,,,
Half-blood,5.0,6.0,3,9,10,7.0,10,6,Slytherin,,,,
Half-blood,6.0,4.0,10,1,5,3.0,2,6,Hufflepuff,,,,
Half-blood,3.0,,5,9,8,5.0,7,2,Slytherin,,,,
Muggle-born,3.0,3.0,9,4,3,0.0,1,4,Hufflepuff,,,,
Half-blood,6.0,,6,5,4,4.0,1,8,Ravenclaw,,,,
Half-blood,9.0,4.0,6,5,1,7.0,9,2,Gryffindor,,,,
Pure-blood,3.0,7.0,6,7,3,0.0,7,9,Ravenclaw,,,,
Muggle-born,2.0,5.0,7,3,0,0.0,4,6,Hufflepuff,,,,
Muggle-born,9.0,3.0,1,4,4,5.0,9,5,Gryffindor,,,,
Pure-blood,7.0,3.0,6,2,3,10.0,9,2,Gryffindor,,,,
Muggle-born,6.0,2.0,7,6,4,4.0,3,4,Hufflepuff,,,,
Muggle-born,3.0,1.0,1,10,8,,10,1,Slytherin,,,,
Half-blood,6.0,,2,8,8,10.0,8,3,Slytherin,,,,
Muggle-born,3.0,10.0,3,4,1,3.0,6,8,Ravenclaw,,,,
Pure-blood,7.0,1.0,5,7,9,5.0,9,2,Slytherin,,,,
Muggle-born,3.0,8.0,6,7,0,7.0,5,9,Ravenclaw,,,,
Pure-blood,2.0,6.0,6,10,7,10.0,10,5,Hufflepuff,,,,
Half-blood,1.0,7.0,10,7,2,1.0,7,6,Gryffindor,,,,
Half-blood,5.0,,7,5,1,4.0,6,1,Hufflepuff,,,,
Muggle-born,7.0,7.0,3,7,5,1.0,4,7,Ravenclaw,,,,
Pure-blood,7.0,,6,8,8,5.0,8,1,Slytherin,,,,
Pure-blood,,10.0,7,3,4,1.0,7,9,Ravenclaw,,,,
Muggle-born,5.0,6.0,9,6,5,7.0,1,6,Hufflepuff,,,,
Pure-blood,6.0,7.0,2,4,4,6.0,4,7,Ravenclaw,,,,
Muggle-born,8.0,4.0,6,3,1,5.0,10,3,Gryffindor,,,,
Half-blood,2.0,6.0,8,4,4,7.0,6,6,Hufflepuff,,,,
Half-blood,10.0,6.0,3,5,5,8.0,9,4,Gryffindor,,,,
Muggle-born,2.0,8.0,3,6,2,1.0,4,9,Ravenclaw,,,,
Muggle-born,4.0,3.0,9,6,1,4.0,3,4,Hufflepuff,,,,
Muggle-born,2.0,9.0,6,7,1,5.0,5,10,Ravenclaw,,,,
Muggle-born,9.0,7.0,6,5,2,,9,3,Gryffindor,,,,
Half-blood,5.0,10.0,7,7,0,1.0,6,10,Ravenclaw,,,,
Half-blood,10.0,7.0,7,5,0,10.0,10,6,Gryffindor,,,,
Muggle-born,7.0,1.0,6,10,10,8.0,9,4,Slytherin,,,,
Pure-blood,5.0,9.0,5,3,3,3.0,7,9,Slytherin,,,,
Pure-blood,7.0,9.0,6,3,0,0.0,3,7,Hufflepuff,,,,
Pure-blood,4.0,7.0,4,2,0,3.0,3,7,Ravenclaw,,,,
Half-blood,8.0,7.0,1,1,2,9.0,9,7,Gryffindor,,,,
Pure-blood,5.0,8.0,2,5,1,5.0,7,10,Ravenclaw,,,,
